ngo_description,category,urgency_level
Immediate action needed: no ambulance available in Islampur for emergency cases and it has been like this for days,medical,High
Displaced families not allotted any relief camp in Chembur,shelter,Critical
Outbreak of fever cases reported in Ratnagiri City with no medical team is creating inconvenience,medical,Medium
Pls no temporary learning centres set up after disaster,education,Critical
SOS: elderly man in Shriwardhan with no relatives or support after disaster pls fix,elderly support,Critical
Critical alert: helpline operators in Waluj not responding despite multiple calls and it has been like this for days,disaster relief,Critical
Needs attention: pls temporary shelters not waterproof causing distress in Mangalwedha,shelter,Medium
SOS: relief trucks not reaching Paranda due to damaged roads is creating inconvenience,food,Critical
"Dangerous situation due to damaged road, please resolve asap",shelter,High
Needs attention: children defecating in open near water source in Sangli City,hygiene,Medium
Issue with emergency helpline not working for residents of Jogeshwari,disaster relief,Medium
"Ongoing issue with water pipeline burst, families without clean water",food,High
Alert: no mid-day meals distributed at school for 2 days,food,High
Pls dirty drainage blocking road and causing stench in Mira Road,hygiene,Critical
Food distribution camp in Amravati City has run out of supplies pls fix,food,High
Issue with dry ration kits not delivered to 100 registered families,food,Medium
Blood bank in Goregaon running critically low on supplies,medical,Critical
"Pls coaching centre in Sengaon closed, students without support",education,Medium
Just informin no water supply,food,Low
"Dangerous situation: no chalk, blackboard or stationery at makeshift school in Vikhroli camp",education,Critical
Ongoing issue with food stock expired at distribution point in Kamptee pls fix,food,Low
Power cut not urgent but should be fixed,disaster relief,Critical
Ongoing issue with sewage leak affecting residential area which is causing a lot of trouble. danger attention is needed.,hygiene,High
"Flood relief funds not disbursed to victims in Kandivali, needs attention soon",disaster relief,Low
Follow up needed on hiv patients in chandrapur city unable to access antiretroviral drugs,medical,Medium
No insulin available for diabetic patients in Khamgaon shelter,medical,High
Families in Pandharpur have gone without food for 3 days pls fix,food,High
"Requires immediate response: chemical factory spill near Govandi causing panic and illness, needs attention soon",disaster relief,Critical
"Reporting stagnant water causing health hazard, low priority concern",medical,Low
CRITICAL: outbreak of fever cases reported in Sengaon with no medical team pls fix,medical,Critical
Heavy winds damaged temporary shelters of 30 families in Wanowrie pls fix,shelter,Critical
"Immediate action needed: landslide destroyed 20 homes in Jalgaon Jamod, urgent shelter needed pls fix",shelter,High
"Bleaching powder not distributed to Basmath for disinfection, needs attention soon",hygiene,Critical
CRITICAL: shelter camp flooded again after second wave of rain in Kalyan,shelter,Critical
Emergency: relief workers in Badnera not provided with protective gear or support,disaster relief,Critical
Earthquake tremors felt in Ausa causing structural damage,disaster relief,High
no tarpaulins provided to flood survivors,shelter,Medium
"Dangerous situation due to unhygienic conditions causing illness risk, please resolve asap",hygiene,High
"Critical complaint about unsanitary conditions, needs quick action",medical,Critical
"Power lines down in Nilanga after cyclone, 15 families affected the whole neighborhood is complaining",disaster relief,High
Group of 10 elderly survivors in Murtajapur need urgent shelter,elderly support,High
No handwashing stations at food distribution point the whole neighborhood is complaining,hygiene,Critical
Sanitation volunteers refused entry to Butibori without reason,hygiene,Critical
Elderly man in Kondhwa with no relatives or support after disaster,elderly support,Critical
volunteer teachers needed urgently at relief camp school,education,High
"There is water pipeline burst, families without clean water",food,High
Reporting that no clean water supply for families the whole neighborhood is complaining. urgent attention is needed.,food,Critical
High priority: special needs children without educational support pls fix,education,High
Please escalate: snake bite cases increasing with no antivenom available,medical,High
Please escalate: bleaching powder not distributed to Waluj for disinfection,hygiene,High
"There is no lighting in residential area, safety risk this is a major safety risk. fire attention is needed.",shelter,Critical
